date,day_index,sand_storm_flag,dust_index,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,failure_mode,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
2018-11-03,1,0,9.8,27.75,51.4,2.017,89.95,7.953,1.006,100.28,3.512,59.39,54.61,0.05,0,0,,434,1,0,normal
2018-11-04,2,0,11.4,24.51,55.4,2.055,86.5,7.943,1.016,98.85,3.517,60.86,55.18,0.05,0,0,,433,0,1,normal
2018-11-05,3,0,6.5,29.84,62.0,2.023,90.04,8.036,1.006,101.29,3.513,60.79,54.84,0.05,0,0,,432,0,2,normal
2018-11-06,4,0,7.5,21.91,51.2,2.082,88.25,8.113,1.01,99.68,3.473,60.8,53.5,0.05,0,0,,431,0,3,normal
2018-11-07,5,0,19.1,29.15,60.3,2.028,88.71,7.991,1.006,99.97,3.504,59.94,54.43,0.05,0,0,,430,0,4,normal
2018-11-08,6,0,2.4,22.05,46.8,2.028,86.46,7.933,0.994,100.32,3.493,59.47,54.04,0.05,0,0,,429,0,5,normal
2018-11-09,7,0,4.6,25.37,60.5,2.027,88.43,8.057,0.997,99.72,3.449,60.53,55.45,0.05,0,0,,428,0,6,normal
2018-11-10,8,0,3.4,22.9,51.3,2.032,88.66,7.994,1.0,99.85,3.48,60.5,55.58,0.05,0,0,,427,0,7,normal
2018-11-11,9,0,13.8,22.59,50.7,2.082,85.71,7.919,1.006,98.9,3.468,60.45,54.57,0.05,0,0,,426,0,8,normal
2018-11-12,10,0,6.5,24.41,56.3,2.061,87.28,8.021,0.993,99.94,3.532,59.42,55.33,0.05,0,0,,425,0,9,normal
2018-11-13,11,0,18.5,22.79,56.6,2.062,85.65,8.004,1.008,100.08,3.438,59.93,55.74,0.05,0,0,,424,0,10,normal
2018-11-14,12,0,7.2,25.68,47.6,1.908,88.68,7.892,1.004,102.49,3.445,60.69,55.0,0.05,0,0,,423,0,11,normal
2018-11-15,13,0,15.8,27.76,61.7,1.985,88.93,7.941,0.996,98.96,3.469,60.01,55.79,0.05,0,0,,422,0,12,normal
2018-11-16,14,0,10.1,25.51,59.1,1.947,88.24,7.991,1.001,100.53,3.456,60.18,54.96,0.05,0,0,,421,0,13,normal
2018-11-17,15,0,15.6,29.59,43.8,2.061,90.1,7.972,0.996,99.63,3.47,59.94,54.58,0.05,0,0,,420,0,14,normal
2018-11-18,16,0,8.5,23.12,55.6,1.932,83.97,7.91,1.005,100.76,3.435,60.29,54.65,0.05,0,0,,419,0,15,normal
2018-11-19,17,0,9.1,24.95,42.7,2.029,86.6,8.058,0.991,97.7,3.467,59.64,54.73,0.05,0,0,,418,0,16,normal
2018-11-20,18,0,16.8,18.17,50.9,2.108,83.33,8.015,1.013,101.56,3.488,60.09,55.02,0.05,0,0,,417,0,17,normal
2018-11-21,19,0,19.1,23.9,41.8,2.009,86.5,7.951,0.987,100.68,3.503,59.98,55.69,0.05,0,0,,416,0,18,normal
2018-11-22,20,0,15.4,23.69,64.2,1.929,89.01,7.987,1.013,100.56,3.452,61.62,55.27,0.05,0,0,,415,0,19,normal
2018-11-23,21,0,2.6,29.59,60.3,2.025,90.37,7.97,0.987,98.26,3.454,60.99,53.83,0.05,0,0,,414,0,20,normal
2018-11-24,22,0,16.9,25.44,60.4,1.992,88.9,8.08,1.005,100.73,3.451,60.83,55.4,0.05,0,0,,413,0,21,normal
2018-11-25,23,0,10.1,26.2,60.4,1.967,89.91,8.115,1.011,98.1,3.478,61.01,55.05,0.05,0,0,,412,0,22,normal
2018-11-26,24,0,19.8,26.87,46.2,1.99,88.88,8.029,1.017,100.39,3.437,60.09,54.28,0.05,0,0,,411,0,23,normal
2018-11-27,25,0,6.5,22.65,64.0,2.032,84.62,7.959,0.979,100.59,3.427,60.4,55.2,0.05,0,0,,410,0,24,normal
2018-11-28,26,0,9.6,29.37,42.3,1.972,90.28,8.1,1.021,101.21,3.496,60.88,55.61,0.05,0,0,,409,0,25,normal
