day_index,sand_storm_flag,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
1,0,27.75,51.4,2.017,89.95,7.953,1.006,100.28,3.512,59.39,54.61,0.05,0,0,358.0,1,0,normal
2,0,24.51,55.4,2.055,86.5,7.943,1.016,98.85,3.517,60.86,55.18,0.05,0,0,357.0,0,1,normal
3,0,29.84,62.0,2.023,90.04,8.036,1.006,101.29,3.513,60.79,54.84,0.05,0,0,356.0,0,2,normal
4,0,21.91,51.2,2.082,88.25,8.113,1.01,99.68,3.473,60.8,53.5,0.05,0,0,355.0,0,3,normal
5,0,29.15,60.3,2.028,88.71,7.991,1.006,99.97,3.504,59.94,54.43,0.05,0,0,354.0,0,4,normal
6,0,22.05,46.8,2.028,86.46,7.933,0.994,100.32,3.493,59.47,54.04,0.05,0,0,353.0,0,5,normal
7,0,25.37,60.5,2.027,88.43,8.057,0.997,99.72,3.449,60.53,55.45,0.05,0,0,352.0,0,6,normal
8,0,22.9,51.3,2.032,88.66,7.994,1.0,99.85,3.48,60.5,55.58,0.05,0,0,351.0,0,7,normal
9,0,22.59,50.7,2.082,85.71,7.919,1.006,98.9,3.468,60.45,54.57,0.05,0,0,350.0,0,8,normal
10,0,24.41,56.3,2.061,87.28,8.021,0.993,99.94,3.532,59.42,55.33,0.05,0,0,349.0,0,9,normal
11,0,22.79,56.6,2.062,85.65,8.004,1.008,100.08,3.438,59.93,55.74,0.05,0,0,348.0,0,10,normal
12,0,25.68,47.6,1.908,88.68,7.892,1.004,102.49,3.445,60.69,55.0,0.05,0,0,347.0,0,11,normal
13,0,27.76,61.7,1.985,88.93,7.941,0.996,98.96,3.469,60.01,55.79,0.05,0,0,346.0,0,12,normal
