timestamp_day,cycle_id,step_in_cycle,RUL_hr,vibration_rms_mm_s,temperature_c,pressure_bar,failure_mode,failure,operating_state,active_failure_mode,ambient_temperature_c,humidity_percent,wind_speed_m_s,rain_intensity_mm_h,ambient_pressure_bar
1,1,0,130,1.818683663,65.24051155,9.863411188,N/A,0,healthy,,30.41017996,74.71684425,3.653504411,0,1.005904466
2,1,73,106,1.547976994,58.04386402,7.878110199,N/A,0,healthy,,30.94868049,73.80370427,4.326649903,0,1.01576071
3,1,121,82,2.438356204,63.9566253,9.5218415,N/A,0,healthy,,31.61729891,74.23004632,4.114510621,2.612560177,1.020321603
4,1,178,58,2.204827617,71.17855098,9.553250766,N/A,0,healthy,,32.0768135,74.12821124,3.063823909,0,1.016031903
5,1,225,34,1.901336058,65.90619871,9.047415294,N/A,0,healthy,,32.38178036,72.79531086,1.99631896,0,1.00650184
6,1,273,10,2.561800849,69.73807636,8.476887223,N/A,0,healthy,,32.62932397,74.21102476,1.510186965,0,0.994503325
7,2,15,0.5,2.213428543,70.4013104,10.55075092,N/A,0,healthy,,32.91356959,73.30619236,2.541280421,0,0.984462716
8,2,62,80,2.373294087,70.40104001,10.45911888,N/A,0,healthy,,32.98786173,73.60867091,3.428027676,0,0.980476284
9,2,110,56,2.948637402,71.69774922,9.923896241,N/A,0,healthy,,32.9013301,73.83224636,4.36607641,0,0.983875321
10,2,159,32,3.05946222,64.90745465,10.36467517,N/A,0,healthy,,32.72662648,72.91148515,4.182385104,0,0.993944673
11,2,207,8,2.653070838,60.40025888,8.31916982,N/A,0,healthy,,32.28821337,73.06847008,2.861054719,0,1.006124672
12,3,18,0.5,2.934986226,66.48682882,10.1551972,N/A,0,healthy,,31.99225043,74.1469066,2.059541363,0,1.016103566
13,3,66,122.5,2.362691153,68.39946321,10.58729923,N/A,0,healthy,,31.72446349,72.95723795,1.588185362,0,1.019478975
14,3,116,98.5,2.440140537,68.65233507,9.703327652,N/A,0,healthy,,30.71612965,74.80016919,2.341720256,0,1.015989493
15,3,164,74.5,1.882090525,57.42679975,8.251202185,N/A,0,healthy,,30.37492158,75.47274579,3.561983929,0,1.006001257
16,3,211,50.5,2.685552706,68.18535212,10.15684089,N/A,0,healthy,,29.77342676,74.39977152,4.426409255,0,0.994158312
17,3,259,26.5,3.00254846,70.17577997,10.45060649,N/A,0,healthy,,29.06061459,75.03777542,4.060601318,0,0.984118037
18,3,307,2.5,3.337368519,69.35341199,9.515010171,N/A,0,healthy,,28.6110909,76.17788813,3.0052014,0,0.980319813
19,4,30,0.5,2.686131016,69.93003675,9.658941358,N/A,0,healthy,,28.24865429,76.35833438,1.887476053,0,0.984518361
20,4,79,100,3.133804807,68.64793185,9.151220642,N/A,0,healthy,,27.52888325,76.02151938,1.663555898,0,0.994025964
21,4,126,76,2.981853256,67.49416275,9.786755386,N/A,0,healthy,,27.23438288,76.23217997,2.253014182,0,1.005650177
22,4,174,52,3.15939589,65.6807055,10.00832872,N/A,0,healthy,,27.25485211,76.59593394,3.53345956,0,1.015779894
23,4,221,28,3.631032235,70.72833662,10.12524377,N/A,0,healthy,,27.03902971,76.99907724,4.557439888,0,1.019455155
24,4,262,4,4.055721479,73.75865776,9.472653215,N/A,0,healthy,,27.01769662,76.19910029,3.92999666,0,1.016361169
25,5,26,0.5,2.812465006,67.15893726,9.743400818,N/A,0,healthy,,27.08583164,75.51999385,2.911191206,0,1.006354497
26,5,74,37,3.401839895,67.97231102,9.046696062,N/A,0,healthy,,27.56859758,76.00088051,2.01248365,0,0.993711653
27,5,123,13,3.697712658,66.70043202,9.892412492,N/A,0,healthy,,28.16236865,76.50873855,1.598659832,0,0.983946931
28,6,10,0.5,4.952630945,69.53809939,9.817577755,N/A,0,healthy,,28.28871474,75.89262124,2.335122108,0.712301517,0.980566939
29,6,58,140,2.812307065,68.26245537,10.16039669,N/A,0,healthy,,29.17160533,76.08695239,3.501911766,0,0.984251302
30,6,97,116,2.637574213,66.46336087,9.935401963,N/A,0,healthy,,29.75497589,75.4254607,4.43393505,0,0.99393584
31,6,152,92,2.779642525,67.92066461,9.142022059,N/A,0,healthy,,30.2145486,75.56563956,4.020992308,0,1.005725811
32,6,200,68,2.280054713,58.54971238,8.20467268,N/A,0,healthy,,30.86513586,73.94393584,3.017234308,0,1.016092954
33,6,249,44,4.096522302,70.66435457,10.00266114,N/A,0,healthy,,31.52270346,74.29332201,2.022204028,0,1.01949532
34,6,297,20,3.67924927,69.88391372,10.09373972,N/A,0,healthy,,32.25007634,74.72499342,1.580410478,0,1.015984368
35,6,346,0.5,3.209454436,61.11494666,8.27649313,N/A,0,healthy,,32.54395612,74.29349,2.465419258,0,1.006173895
36,7,42,124,2.62543824,68.66807133,9.589043977,N/A,0,healthy,,32.51168833,73.61478781,3.638582604,0,0.994591593
37,7,91,100,3.121818004,67.14913845,9.635817198,N/A,0,healthy,,32.88107262,72.57155964,4.396524881,0,0.984215997
38,7,138,76,3.387007966,69.34326224,9.419011008,N/A,0,healthy,,32.91296637,73.65898489,4.139754961,0,0.980102362
39,7,187,52,3.515046219,70.71233391,10.14318766,N/A,0,healthy,,32.76700043,72.41002214,2.876855157,0,0.984324279
40,7,234,28,3.860631316,68.93418615,10.02063361,N/A,0,healthy,,32.8676089,72.35630895,1.984581949,0,0.99354568
41,7,282,4,4.469679739,72.80198584,9.9533355,N/A,0,healthy,,32.35777262,73.62235705,1.45265454,0,1.005746683
42,8,26,0.5,2.935594438,68.40191982,9.537371061,N/A,0,healthy,,32.04759361,74.75084947,2.275683064,0,1.016056464
43,8,75,111,3.05472279,68.43321801,9.93792443,N/A,0,healthy,,31.56340014,74.16960401,3.567372509,0,1.019575674
44,8,122,87,3.699129243,68.2541361,9.54469468,N/A,0,healthy,,30.97659804,74.52409773,4.32233257,0,1.015972073
45,8,170,63,2.945585632,67.00339042,9.84038653,N/A,0,healthy,,30.39834749,75.39926106,4.190993327,0,1.006110207
46,8,219,39,3.304793972,71.19607695,9.354161494,N/A,0,healthy,,29.82529792,73.19528734,3.010200169,0,0.994312095
47,8,266,15,3.967512997,72.20339076,10.42644766,N/A,0,healthy,,29.02835208,77.64999178,1.993568298,0,0.984348433
48,9,4,0.5,2.985148816,60.12941196,10.81449221,N/A,0,healthy,,28.51371792,77.50271907,1.490684084,0,0.980771049
49,9,53,51.5,2.74601841,65.9591053,10.66875257,N/A,0,healthy,,27.79968942,75.05007673,2.341604785,0,0.984298811
50,9,101,27.5,2.547488601,60.20957998,10.07701783,N/A,0,healthy,,27.46415147,76.15452975,3.733404019,0,0.994082301
51,9,148,3.5,3.007066995,68.62018387,9.913624033,N/A,0,healthy,,27.19915586,77.04305332,4.505522718,0,1.005428667
52,10,27,0.5,3.307225765,62.81292733,9.644650761,N/A,0,healthy,,26.92644644,77.18436601,4.090375784,0,1.01550267
53,10,77,74.5,2.847572862,63.88704456,10.14041151,N/A,0,healthy,,26.98537008,75.4493921,2.973053782,0,1.019890421
54,10,125,50.5,2.633424593,63.95875882,9.734441212,N/A,0,healthy,,26.94883327,77.45656866,1.835939827,0,1.015860509
55,10,173,26.5,2.731627257,60.31716448,9.289933585,N/A,0,healthy,,27.28639425,78.06373093,1.564625198,0,1.00588094
56,10,233,2.5,3.398962108,65.70154282,9.340428402,N/A,0,healthy,,27.53476522,76.47043452,2.472876865,0,0.993999212
57,11,30,0.5,3.96812224,69.39353463,9.525965627,N/A,0,healthy,,27.97445849,76.73024173,3.622435203,0,0.984429684
58,11,78,65,3.219933529,70.14028874,10.06348081,N/A,0,healthy,,28.20209828,76.5811676,4.278746003,0,0.979962444
59,11,127,41,3.284752494,70.93108234,10.06553725,N/A,0,healthy,,29.06342285,76.81152244,4.149653325,0,0.983950537
60,11,174,17,3.791635166,71.39378598,10.00090479,N/A,0,healthy,,29.96248725,75.8541782,2.95751916,0,0.993909576
61,12,2,0.5,4.397034923,71.50989603,9.800114331,N/A,0,healthy,,30.33046031,73.48085544,1.933410657,0,1.006407374
62,12,50,139,2.435922787,65.54874842,10.22059605,N/A,0,healthy,,30.96815485,75.33462845,1.678461799,0,1.015834092
63,12,96,115,3.001899714,66.88227156,11.0015834,N/A,0,healthy,,31.56469055,73.98530767,2.471458612,0,1.019734179
64,12,144,91,3.569451942,63.61580824,10.41562541,N/A,0,healthy,,32.02334816,73.15451627,3.365478055,0,1.016250256
65,12,192,67,3.396287789,68.24719727,10.64568606,N/A,0,healthy,,32.32999118,73.04585483,4.401169083,0,1.006400975
66,12,242,43,3.588733228,69.95349744,10.80579337,N/A,0,healthy,,32.76019014,73.76783682,4.129069865,0,0.993975827
67,12,290,19,4.400531447,72.19028052,10.2598961,N/A,0,healthy,,32.82536009,73.83476883,2.976879102,0,0.984097817
68,12,338,0.5,5.135231247,71.44734035,11.133988,N/A,0,healthy,,32.97819816,72.79803601,2.029802544,0,0.980234624
69,13,46,110.5,2.093068384,70.41847679,10.11298507,N/A,0,healthy,,32.96068953,72.5910601,1.728212039,0,0.98407407
70,13,92,86.5,2.701760586,71.50912087,9.358770158,N/A,0,healthy,,32.88221499,72.490327,2.348584396,0,0.993417861
71,13,140,62.5,3.094152092,68.90929995,10.18125555,N/A,0,healthy,,32.35592485,72.82632786,3.709609071,0,1.005618104
72,13,189,38.5,3.490583619,73.61272125,10.04589918,N/A,0,healthy,,31.97215416,74.88955185,4.493461873,0,1.015875161
73,13,237,14.5,4.209576792,74.65323233,9.84218793,N/A,0,healthy,,31.60820678,74.55098313,4.130473227,0,1.019382136
74,14,7,0.5,3.982227502,77.64038984,9.700051387,N/A,0,healthy,,31.10122501,75.18828071,2.887816905,0,1.016016249
75,14,53,125,2.425103495,65.52709251,10.12950952,N/A,0,healthy,,30.28870236,74.51810488,1.884963514,0,1.006303389
76,14,102,101,3.012637066,67.72645421,10.02980731,N/A,0,healthy,,29.57999222,75.45693133,1.683319505,0,0.994122385
77,14,149,77,3.857285046,67.70531525,10.25438183,N/A,0,healthy,,29.04348366,74.02440346,2.14774652,1.559825534,0.983940649
78,14,198,53,3.544275975,67.02977459,9.662833677,N/A,0,healthy,,28.47578359,75.67559355,3.676971762,0.689450165,0.980363881
79,14,245,29,4.642015049,68.82396845,9.742533548,N/A,0,healthy,,28.06307132,75.56108082,4.353474434,0,0.984034858
80,14,295,5,4.89808405,68.4624921,9.890093944,N/A,0,healthy,,27.50576237,75.66412772,4.160970754,0,0.993688185
81,15,26,0.5,3.220662996,65.31705706,9.489449198,N/A,0,healthy,,27.38315023,76.65391712,3.011052011,0,1.00599439
82,15,74,75.5,2.26567974,66.68013743,9.596918946,N/A,0,healthy,,27.17045177,76.17433345,1.86877028,0,1.015681647
83,15,120,51.5,2.087490493,64.22706273,8.654464507,N/A,0,healthy,,27.11731561,77.69140495,1.503992597,0,1.019545212
84,15,168,27.5,1.890083482,69.79268774,9.030371132,N/A,0,healthy,,27.0633883,76.76603398,2.478996463,0,1.016025066
85,15,217,3.5,2.344917995,70.9010925,8.693520581,N/A,0,healthy,,27.32562886,76.27818694,3.675251011,0,1.006322518
86,16,28,0.5,1.966987646,62.77596489,9.008317877,N/A,0,healthy,,27.53012825,75.27151582,4.429630206,0,0.994167165
87,16,77,50.5,2.346085633,65.84151858,10.07808169,N/A,0,healthy,,27.93385091,76.85917823,4.19176069,0,0.984117082
88,16,123,26.5,2.462174147,66.3933006,9.669007888,N/A,0,healthy,,28.4098905,74.81515522,2.894692699,0,0.980074296
89,16,172,2.5,2.572681831,65.7057479,9.065993773,N/A,0,healthy,,29.30057955,75.90600273,1.847287472,0,0.984198518
90,17,30,0.5,2.302135322,64.99679456,10.12630841,N/A,0,healthy,,29.64685761,75.4223198,1.635275222,0,0.993753057
91,17,78,84.5,2.989743703,62.43688732,9.75636051,N/A,0,healthy,,30.39384115,73.60646371,2.468696519,0,1.006049588
92,17,126,60.5,3.109950842,63.94161719,10.16259447,N/A,0,healthy,,30.8668862,75.17688141,3.633160107,0,1.016372149
93,17,175,36.5,3.893253261,67.19131169,9.776943736,N/A,0,healthy,,31.50188086,73.4775562,4.369350595,0.96110886,1.019233565
94,17,222,12.5,4.014661416,70.79186229,9.533467553,N/A,0,healthy,,31.94820855,74.67537746,4.351897405,0,1.015811379
95,18,10,0.5,5.271322506,65.69208386,10.10343854,N/A,0,healthy,,32.35132225,73.34588674,3.066204901,0,1.006644182
96,18,58,42.5,2.121484421,50.26650899,8.247482565,N/A,0,healthy,,32.84076942,74.24856563,2.011178352,0,0.993945087
97,18,106,18.5,3.602208248,59.75686334,10.22678062,N/A,0,healthy,,32.85417601,72.49082065,1.622838184,0,0.98457372
98,18,155,0.5,2.993883148,58.83799026,8.309348289,N/A,0,healthy,,32.94568352,72.38244284,2.272760889,0,0.980481322
99,19,46,129.5,2.479869219,71.60395454,10.56308904,N/A,0,healthy,,33.01435414,73.50148036,3.463299061,0,0.984166899
100,19,94,105.5,3.317520599,73.33601223,9.244417394,N/A,0,healthy,,32.72394272,72.98728778,4.536451655,2.772350138,0.993656002
101,19,141,81.5,2.547566968,70.92735052,9.2610468,N/A,0,healthy,,32.46316665,73.71427361,3.946029045,0,1.006309458
102,19,182,57.5,2.328163945,62.41533709,8.424796548,N/A,0,healthy,,32.07981892,73.549548,2.970519686,0,1.015638612
103,19,237,33.5,3.552347634,77.03652557,10.16685529,N/A,0,healthy,,31.52664193,73.528962,1.930160454,0,1.019630683
104,19,285,9.5,3.05443842,64.28961035,8.400449843,N/A,0,healthy,,30.81714722,75.09040145,1.559397802,0,1.015904329
105,20,16,0.5,3.227545795,63.93599981,10.57434397,N/A,0,healthy,,30.31103772,73.93305644,2.652789846,0,1.005833828
106,20,65,100,2.192316907,62.17967567,9.67026172,N/A,0,healthy,,29.82456571,75.50618022,3.732413028,0,0.99397457
107,20,113,76,2.432811956,69.2747846,10.50588715,N/A,0,healthy,,28.99362482,75.71167315,4.20702758,0,0.984343392
108,20,173,52,1.901466691,68.80557394,9.45928579,N/A,0,healthy,,28.36876201,75.87507979,4.147184116,0,0.979958089
109,20,208,28,2.914595676,72.09692195,9.611417003,N/A,0,healthy,,28.09489599,76.54427517,3.106402924,0,0.984007971
110,20,256,4,3.69042672,72.21712419,9.345681955,N/A,0,healthy,,27.62449237,74.93053878,1.941252857,0,0.99392563
111,21,28,0.5,2.468213002,65.81072849,9.712200992,N/A,0,healthy,,27.31981641,77.3374839,1.746904725,0,1.005883833
112,21,75,108,2.504319578,63.7810389,9.11919465,N/A,0,healthy,,26.95562002,76.58050965,2.425350876,0,1.016040086
113,21,124,84,2.134896624,63.14740489,9.261907615,N/A,0,healthy,,26.94000865,76.73533469,3.652299296,0,1.020168455
114,21,172,60,2.609100596,69.20524138,9.645095675,N/A,0,healthy,,27.04717538,76.85577811,4.161640464,0,1.015858971
115,21,218,36,2.537395076,67.5262435,9.310480412,N/A,0,healthy,,27.25112548,75.77106388,4.099253485,0,1.006089859
116,21,266,12,2.597949052,69.92192849,8.267802416,N/A,0,healthy,,27.700348,76.17128016,2.906894098,0,0.993762381
117,22,10,0.5,2.017131868,68.70457792,10.2754598,N/A,0,healthy,,28.0952074,77.35159876,1.699160611,0,0.984375241
118,22,60,73,3.192152827,67.15173836,10.67783288,N/A,0,healthy,,28.50692091,76.89051628,1.61298665,0,0.97988745
119,22,106,49,2.84044078,68.48497617,9.295757493,N/A,0,healthy,,29.22102583,75.70990304,2.156973156,0,0.983690729
120,22,154,25,3.547505584,68.43408221,10.64476495,N/A,0,healthy,,29.71168992,74.82623105,3.628350881,0,0.994045378
121,22,203,1,3.826049925,67.21585118,9.372836585,N/A,0,healthy,,30.46740858,74.08555547,4.527659701,0,1.005791663
122,23,32,0.5,4.039696765,69.10559298,10.70680208,N/A,0,healthy,,30.88817505,72.19584692,4.177145901,0,1.016016337
123,23,80,127.5,1.347645764,56.25647766,8.193211251,N/A,0,healthy,,31.6404975,73.35506038,3.07131995,0,1.019737525
124,23,129,103.5,1.52412186,62.73303148,10.09936578,N/A,0,healthy,,31.94926279,74.78030692,1.887184575,0,1.01569501
